Month,1980's Average,1990's Average,2000's Average,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
January,13838002,13479932,12884425,-9999,13142332,13009467,12573869,12642784,12629637,12637938,12555408,12548660,12278751,12746295,12362561,12420072,12504555
February,15111680,14683122,14111820,-9999,14422648,13809664,13556978,13478900,13785327,14026271,13947998,13647166,13583515,13455503,13608319,13641307,13571368
March,15567285,15028139,14648092,-9999,14996117,14565509,14287503,13922172,14113363,14750207,14612031,14290110,13933134,14527794,14513370,14046933,-9999
April,15216776,14828785,14237137,-9999,14670170,14223567,13827984,13610775,13712061,14350528,14194095,14663290,13979155,14506073,14208301,13874338,-9999
May,13971383,13480885,13102626,-9999,13098113,12689719,12943026,12558242,12847842,13087032,13359047,13307399,12851721,13052728,12855836,12807168,-9999
June,12528782,12110792,11623450,-9999,11823376,11469931,11435633,11227018,11438137,11600367,11557409,11147651,11087132,11443198,11614569,11314078,-9999
July,11200798,10531697,9834368,10173047,10066431,10177027,9660577,9278887,9322060,9701808,9741966,8821005,9006770,8941220,9443213,8936847,-9999
August,8818276,8050712,7207411,-9999,7591986,7865023,6900440,6970607,6182432,6966698,6771936,6658223,6308428,6082400,6643222,6732384,-9999
September,7380404,6661255,5646528,5701755,6129928,5803603,5527269,5834079,4413908,4767050,5258909,5126902,4481715,3475817,5037161,5213082,-9999
October,7878684,7221980,6093730,6462765,6346757,6453887,5708621,5925428,4507903,5195060,5562154,5425034,4950500,3848883,5608684,5382281,-9999
November,9973758,9731637,9037991,9000267,-9999,8938978,9075368,8908818,8244072,9106807,8525793,8286412,8326471,7740115,8829823,8870568,-9999
December,12137242,11654605,10962316,11345513,10889689,11125261,10782722,9999765,10431987,11028417,10699109,10281717,10505579,10487669,10905242,10835828,-9999
